Name,Interests,Mood,tripadvisor,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,,,,,,
Đền Huyền Trân Công Chúa,138,149,,https://mia.vn/media/uploads/blog-du-lich/le-hoi-den-huyen-tran-cong-chua-le-hoi-tuong-nho-cac-bac-tien-nhan-tai-thua-thien-hue-1638093587.jpg,https://maps.app.goo.gl/EFeD8KX7K7ozBKbs8,"16.4177941,107.6084502",4.4,360,30000,7.00 AM,5.00 PM,"151 Thiên Thai, An Tây, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng vua Thiệu Trị – Xương Lăng,123458,179,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d14770585-Reviews-Tomb_of_Thieu_Tri-Hue_Thua_Thien_Hue_Province.html,https://tourdanangcity.vn/wp-content/uploads/2023/03/lang-tam-hue3.jpg.jpg,https://maps.app.goo.gl/tbRpsQfLiQfNpRam9,"16.4178679,107.572561",4.3,398,50000,7.00 AM,5.00 PM,"CH9F+42V, Thủy Bằng, Hương Thủy, Thừa Thiên Huế",,,,,,,
Điện Hòn Chén,1348,149,,https://mia.vn/media/uploads/blog-du-lich/tham-quan-dien-hon-chen-xu-hue-bieu-tuong-tam-linh-van-hoa-xu-hue-3-1637728062.jpeg,https://maps.app.goo.gl/A36PCAzBw78s7JsB7,"16.4219292,107.5629688",4.3,195,50000,all time,all time,"Làng Hải Cát, Hương Trà, Thừa Thiên Huế",,,,,,,
Chùa Trúc Lâm,13,4,,https://bvhttdl.mediacdn.vn/291773308735864832/2022/8/9/chua-phat-tich-truc-lam-ban-gioc-dat-phat-o-mien-bien-gioi-cao-bang-1-1660016750986343081140-1660038406623-16600384069372014855399.jpg,https://maps.app.goo.gl/wvZWwcLMRAfnWpWC6,"16.4266856,107.5838954",4.4,61,0,all time,all time,"CHGM+MHC, Võ Văn Kiệt, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
The Hill (Bunker),8,1379a,,https://www.shutterstock.com/image-photo/bunker-on-hill-hue-danang-260nw-716485231.jpg,https://maps.app.goo.gl/AGtPAg9prqNeMB3Y7,"16.4270349,107.565915",3.1,149,0,all time,all time,"83 Huyền Trân Công Chúa, Thủy Biều, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Đồi Vọng Cảnh,8,179,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/vongcanh.jpg,https://maps.app.goo.gl/75FKmEVJpHFnmS3Z6,"16.4272545,107.5652241",3.1,1684,0,all time,all time,"102 Huyền Trân Công Chúa, Thủy Biều, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng Thánh Cung - Tư Minh Lăng,123458,179,,https://khamphahue.com.vn/Portals/0/Medias/Nam2022/T10/Khamphahue_TuThongLang_DuongThiThuc_Van-Van.jpg,https://maps.app.goo.gl/xwdscqVULFWDdcWu9,"16.4274871,107.5692585",4.7,32,0,all time,all time,"CHG9+XPR, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng vua Đồng Khánh – Tư Lăng,123458,179,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d8546743-Reviews-Imperial_Tomb_of_Dong_Khanh-Hue_Thua_Thien_Hue_Province.html,https://khamphahue.com.vn/Portals/0/Medias/Nam2022/T10/Khamphahue_DienNgungHy_LangVuaDongKhanh.jpg,https://maps.app.goo.gl/re9btN8yya9SDBp9A,"16.4299317,107.5699976",4.4,243,100000,7.00 AM,,"CHH9+XXH, Đoàn Nhữ Hải, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng Từ Cung,123458,179,,https://www.vietnam-evisa.com/wp-content/uploads/2018/05/image3-11.png,https://maps.app.goo.gl/EPVapJGJADNuQyMS8,"16.4299578,107.57162",4.0,1,,,,"Đoàn Nhữ Hải, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Khu rừng thông thuộc Làng du lịch sinh thái Về Nguồn,89,a9,,https://static.vinwonders.com/production/khu-du-lich-ve-nguon-hue.jpg,https://maps.app.goo.gl/juThJgUdb6dK5DSg7,"16.4314958,107.5330765",2.1,6,,,,,,,,,,,
