Name,Interests,Mood,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,interest,const_num,,mood,const_num,budget
Lăng vua Đồng Khánh – Tư Lăng,123458,179,,https://maps.app.goo.gl/re9btN8yya9SDBp9A,"16.4299317,107.5699976",,,,,,,,,,,,,
Lăng vua Dục Đức – An Lăng,123458,179,,https://maps.app.goo.gl/3dYFQrPx4hMkLLgo8,"16.4511961,107.5929415",,,,,,,,,,,,,
Lăng Hiệp Hòa,123458,179,,https://maps.app.goo.gl/8qTUfZLLowhUWfkR7,"16.4168233,107.6054352",,,,,,,,,,,,,
Lăng Kiến Phúc - Bồi Lăng,123458,179,,https://maps.app.goo.gl/9BLu5mpP7saHxexK9,"16.4342245,107.5666589",4.0,9,,7.30 AM,5.30 PM,"CHM8+MMM, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng Thánh Cung - Tư Minh Lăng,123458,179,,https://maps.app.goo.gl/xwdscqVULFWDdcWu9,"16.4274871,107.5692585",4.7,32,0,all time,all time,"CHG9+XPR, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Lăng Từ Cung,123458,179,,https://maps.app.goo.gl/EPVapJGJADNuQyMS8,"16.4299578,107.57162",4.0,1,,,,"Đoàn Nhữ Hải, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Bảo tàng HCM,57,c,,https://maps.app.goo.gl/jWcd5tzGuWxTwCTA6,"16.4595041,107.5812131",4.2,271,0,8.00 AM/ 2.00 PM,11.30 AM/5.00 PM,"7 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Bảo Tàng thiên nhiên duyên hải Miền Trung,57,7,,https://maps.app.goo.gl/EEF8Kxfb1ockCaVi9,"16.4445592,107.5095605",4.1,14,0,7.30 AM,5.00 PM,"Khu quy hoạch Vỹ Dạ 7 - đường Điềm Phùng Thị, Phường Vỹ Dạ - Thành phố Huế - Thừa Thiên - Huế.",,,,,,,
"Bảo tàng cổ vật cung 
đình Huế",2357,2,,https://maps.app.goo.gl/ACoXN4LWRr4tigEc6,"16.471343,107.5640556",4.5,1079,50000,7.00 AM,5.30 PM,"03 Lê Trực, Phú Hậu, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Không gian lưu niệm Lê Bá Đảng,27,7,,https://maps.app.goo.gl/kXYLS9fcTRjYxewu7,"16.4042598,107.5110287",4.5,245,120000,8.00 AM/ 2.00PM,12.00 PM/ 6.00 PM,"Thôn Kim Sơn, Thừa Thiên Huế",,,,,,,
Lan viên cổ tích - Bảo tàng Gốm cổ Sông Hương,2357,2,,https://maps.app.goo.gl/CPyd3NGQdVXYohRX7,"16.4526799,107.4765554",4.8,45,"60000: HSSV, người Huế/120000: Khách du lịch",8.00 AM,5.00 PM,"120 Nguyễn Phúc Nguyên, Hương Long, Thành phố Huế, Thừa Thiên Huế 530000",,,,,,,
"Bảo tàng đồ sứ ký
 kiểu thời Nguyễn",2357,2,,https://maps.app.goo.gl/p1D5YPAEDVy1Kj2N9,"16.4445592,107.5095605",4.6,16,0,all time,all time,"114 Mai Thúc Loan, Phú Hậu, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Bảo tàng Đại tướng Nguyễn Chí Thanh,57,c,,https://maps.app.goo.gl/D2dZEWbVCPXgNwFs7,"16.4707132,107.5729223",5.0,9,0,9.00 AM,5.00 PM,"144 Đặng Thái Thân, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Bảo tàng Mỹ thuật Cecile Le Pham,27,7,,https://maps.app.goo.gl/YFnTUpH5f3Cj2XpS7,"16.4534072,107.5722737",5.0,2,0,8.00 AM/ 2.00PM,12.00 PM/ 6.00 PM,"53 Hàm Nghi, Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Bảo tàng lịch sử Việt nam,57,c,,https://maps.app.goo.gl/iDjogFmDGP31GFNWA,"16.455985,107.4948368",4.9,16,30000,all time,all time,"268 Điện Biên Phủ, Trường An, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Nhà lưu niệm Bác Hồ ở Làng Dương Nỗ,57,c,,https://maps.app.goo.gl/2C45kXqHABbymwoHA,"16.4708316,107.523568",4.7,35,0,all time,all time,"GJ73+397, Lưu Khánh, Phú Vang, Thừa Thiên Huế",,,,,,,
Khu Di Tích Lịch Sử Chín Hầm,57,1c,,https://maps.app.goo.gl/mRsA6pHBpjwhxDd18,"16.455985,107.4948368",4.1,77,0,all time,all time,"Thiên Thai, An Tây, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Điện Hòn Chén,1348,149,,https://maps.app.goo.gl/A36PCAzBw78s7JsB7,"16.4219292,107.5629688",4.3,195,50000,all time,all time,"Làng Hải Cát, Hương Trà, Thừa Thiên Huế",,,,,,,
Đền Huyền Trân Công Chúa,138,149,,https://maps.app.goo.gl/EFeD8KX7K7ozBKbs8,"16.4177941,107.6084502",4.4,360,30000,7.00 AM,5.00 PM,"151 Thiên Thai, An Tây, Thành phố Huế, Thừa Thiên Huế",,,,,,,
