osmid,y,x,street_count,highway,ref,geometry
472094530,16.4756573,107.5954234,4,,,POINT (107.5954234 16.4756573)
472094545,16.4756586,107.5932026,4,,,POINT (107.5932026 16.4756586)
472094547,16.4754736,107.5931706,3,,,POINT (107.5931706 16.4754736)
472094548,16.4754052,107.5954072,3,,,POINT (107.5954072 16.4754052)
472094549,16.4765566,107.5932936,3,,,POINT (107.5932936 16.4765566)
472094550,16.4762226,107.5932756,3,,,POINT (107.5932756 16.4762226)
472094551,16.4758167,107.5954247,3,,,POINT (107.5954247 16.4758167)
472094556,16.4753081,107.5953811,3,,,POINT (107.5953811 16.4753081)
472094571,16.4750785,107.5953724,3,,,POINT (107.5953724 16.4750785)
472094575,16.4748535,107.5953496,4,,,POINT (107.5953496 16.4748535)
472094619,16.4754456,107.5948656,1,,,POINT (107.5948656 16.4754456)
472094622,16.4754966,107.5952836,1,,,POINT (107.5952836 16.4754966)
472094648,16.4754136,107.5952686,3,,,POINT (107.5952686 16.4754136)
472094661,16.4758826,107.5949846,1,,,POINT (107.5949846 16.4758826)
472094664,16.4757467,107.5948337,1,,,POINT (107.5948337 16.4757467)
472094670,16.4750846,107.5951806,1,,,POINT (107.5951806 16.4750846)
472094673,16.4744168,107.5953033,4,,,POINT (107.5953033 16.4744168)
472094706,16.4769433,107.5955601,4,,,POINT (107.5955601 16.4769433)
472094715,16.4770036,107.595213,1,,,POINT (107.595213 16.4770036)
472094729,16.4765336,107.5935986,3,,,POINT (107.5935986 16.4765336)
472094730,16.4770656,107.5930776,1,,,POINT (107.5930776 16.4770656)
472094737,16.4762326,107.5927966,3,,,POINT (107.5927966 16.4762326)
472094748,16.4749062,107.5947206,1,,,POINT (107.5947206 16.4749062)
472094753,16.4765126,107.5937996,3,,,POINT (107.5937996 16.4765126)
472094758,16.4779266,107.5932126,1,,,POINT (107.5932126 16.4779266)
472094760,16.4779296,107.5933326,3,,,POINT (107.5933326 16.4779296)
472094761,16.4765614,107.5955119,3,,,POINT (107.5955119 16.4765614)
472094762,16.4761588,107.5954676,3,,,POINT (107.5954676 16.4761588)
472094763,16.4721933,107.5950592,3,,,POINT (107.5950592 16.4721933)
472094765,16.4718717,107.5949734,3,,,POINT (107.5949734 16.4718717)
472094774,16.4716968,107.5955407,3,,,POINT (107.5955407 16.4716968)
472094780,16.4779196,107.5927446,3,,,POINT (107.5927446 16.4779196)
472094791,16.4778856,107.5929876,1,,,POINT (107.5929876 16.4778856)
472094793,16.4777406,107.5931516,1,,,POINT (107.5931516 16.4777406)
472094851,16.4776736,107.5930106,1,,,POINT (107.5930106 16.4776736)
472094854,16.4766358,107.5949917,1,,,POINT (107.5949917 16.4766358)
472094857,16.476614,107.5951151,3,,,POINT (107.5951151 16.476614)
472094859,16.4765419,107.595103,1,,,POINT (107.595103 16.4765419)
472094861,16.4769356,107.5930436,1,,,POINT (107.5930436 16.4769356)
472094874,16.4766066,107.5927984,3,,,POINT (107.5927984 16.4766066)
472094884,16.4766116,107.5930326,1,,,POINT (107.5930326 16.4766116)
472094888,16.4765866,107.5927986,3,,,POINT (107.5927986 16.4765866)
472094902,16.4774846,107.5925826,1,,,POINT (107.5925826 16.4774846)
472094907,16.4775026,107.5930226,1,,,POINT (107.5930226 16.4775026)
472094909,16.4772506,107.5930556,1,,,POINT (107.5930556 16.4772506)
472094913,16.4772576,107.5925826,1,,,POINT (107.5925826 16.4772576)
472094915,16.4769476,107.5938956,3,,,POINT (107.5938956 16.4769476)
472094918,16.4769386,107.5940306,1,,,POINT (107.5940306 16.4769386)
472094932,16.4762336,107.5938776,1,,,POINT (107.5938776 16.4762336)
472094941,16.4764956,107.5939766,1,,,POINT (107.5939766 16.4764956)
472094970,16.4773746,107.5938246,3,,,POINT (107.5938246 16.4773746)
472094994,16.4756826,107.5936026,1,,,POINT (107.5936026 16.4756826)
472095019,16.4754546,107.5935586,1,,,POINT (107.5935586 16.4754546)
472095024,16.4753606,107.5931496,3,,,POINT (107.5931496 16.4753606)
472095027,16.4752406,107.5936396,1,,,POINT (107.5936396 16.4752406)
472095030,16.4760236,107.5932556,3,,,POINT (107.5932556 16.4760236)
472095033,16.4759686,107.5937406,1,,,POINT (107.5937406 16.4759686)
472095051,16.4756716,107.5930716,1,,,POINT (107.5930716 16.4756716)
472095074,16.4756946,107.5927786,1,,,POINT (107.5927786 16.4756946)
472095084,16.4764586,107.5928006,3,,,POINT (107.5928006 16.4764586)
472095091,16.4744686,107.5948926,1,,,POINT (107.5948926 16.4744686)
472095108,16.4761266,107.5951886,1,,,POINT (107.5951886 16.4761266)
472095117,16.4751716,107.5931286,3,,,POINT (107.5931286 16.4751716)
472095121,16.4750956,107.5934786,1,,,POINT (107.5934786 16.4750956)
472095144,16.4758066,107.5929166,1,,,POINT (107.5929166 16.4758066)
472095156,16.4758096,107.5927816,3,,,POINT (107.5927816 16.4758096)
472095173,16.4771194,107.5955749,3,,,POINT (107.5955749 16.4771194)
472095237,16.4688376,107.5939946,1,,,POINT (107.5939946 16.4688376)
472095312,16.47609,107.5954589,3,,,POINT (107.5954589 16.47609)
472095345,16.4763506,107.5931326,1,,,POINT (107.5931326 16.4763506)
472095454,16.4783425,107.5956969,4,,,POINT (107.5956969 16.4783425)
