osmid,y,x,street_count,ref,highway,geometry
7742550052,16.5780974,107.4749176,3,,,POINT (107.4749176 16.5780974)
7742550065,16.5755816,107.4650796,3,,,POINT (107.4650796 16.5755816)
7742550066,16.575384,107.465085,3,,,POINT (107.465085 16.575384)
7742550080,16.5772117,107.4744992,1,,,POINT (107.4744992 16.5772117)
7742553896,16.5878376,107.4712624,3,,,POINT (107.4712624 16.5878376)
7742553903,16.5890045,107.4693412,3,,,POINT (107.4693412 16.5890045)
7742553913,16.5933912,107.4681343,3,,,POINT (107.4681343 16.5933912)
7742553918,16.5793879,107.4818216,3,,,POINT (107.4818216 16.5793879)
7742553928,16.5802015,107.4810532,1,,,POINT (107.4810532 16.5802015)
7742553931,16.5788834,107.4822924,1,,,POINT (107.4822924 16.5788834)
7742553932,16.579303,107.4695975,1,,,POINT (107.4695975 16.579303)
7742553946,16.5780865,107.4749538,3,,,POINT (107.4749538 16.5780865)
7742553948,16.5887884,107.4808305,3,,,POINT (107.4808305 16.5887884)
7742553954,16.5859855,107.4781711,1,,,POINT (107.4781711 16.5859855)
7742556460,16.5512651,107.3984142,3,,,POINT (107.3984142 16.5512651)
7742556461,16.5489804,107.3996172,4,,,POINT (107.3996172 16.5489804)
7742556468,16.5519613,107.3979112,3,,,POINT (107.3979112 16.5519613)
7742556482,16.5522408,107.406553,3,,,POINT (107.406553 16.5522408)
7742588205,16.5505028,107.4072782,1,,,POINT (107.4072782 16.5505028)
7742588239,16.5489561,107.4091391,3,,,POINT (107.4091391 16.5489561)
7742588259,16.5395474,107.3978097,3,,,POINT (107.3978097 16.5395474)
7742588291,16.5398448,107.3986422,3,,,POINT (107.3986422 16.5398448)
7742588320,16.5348309,107.3987978,3,,,POINT (107.3987978 16.5348309)
7742588329,16.5328159,107.4006754,3,,,POINT (107.4006754 16.5328159)
7742588378,16.5371019,107.4048501,3,,,POINT (107.4048501 16.5371019)
7742588379,16.5364565,107.4062086,1,,,POINT (107.4062086 16.5364565)
7742588383,16.5387941,107.4056735,4,,,POINT (107.4056735 16.5387941)
7742588396,16.5421345,107.407877,3,,,POINT (107.407877 16.5421345)
7742588408,16.5429306,107.412693,3,,,POINT (107.412693 16.5429306)
7742588409,16.5428121,107.4127024,3,,,POINT (107.4127024 16.5428121)
7742588418,16.5405812,107.4116885,3,,,POINT (107.4116885 16.5405812)
7742588420,16.5392717,107.4048165,3,,,POINT (107.4048165 16.5392717)
7742588470,16.549653,107.4123814,3,,,POINT (107.4123814 16.549653)
7742588524,16.5413626,107.4186409,3,,,POINT (107.4186409 16.5413626)
7742588525,16.5463309,107.4184709,1,,,POINT (107.4184709 16.5463309)
7742588538,16.5491284,107.4160374,4,,,POINT (107.4160374 16.5491284)
7742588539,16.5487941,107.4176835,3,,,POINT (107.4176835 16.5487941)
7742588542,16.5477072,107.4173123,3,,,POINT (107.4173123 16.5477072)
7742588543,16.5490993,107.4170211,4,,,POINT (107.4170211 16.5490993)
7742588546,16.550121,107.4172866,1,,,POINT (107.4172866 16.550121)
7742588552,16.5494034,107.4153405,3,,,POINT (107.4153405 16.5494034)
7742591155,16.5506994,107.6089993,1,,,POINT (107.6089993 16.5506994)
7742591157,16.5498055,107.6088772,3,,,POINT (107.6088772 16.5498055)
7742591158,16.5506416,107.6093962,1,,,POINT (107.6093962 16.5506416)
7742591162,16.5506274,107.6097676,1,,,POINT (107.6097676 16.5506274)
7742591165,16.55081,107.6077113,3,,,POINT (107.6077113 16.55081)
7742591166,16.5507286,107.6072409,3,,,POINT (107.6072409 16.5507286)
7742591170,16.5520356,107.6082549,1,,,POINT (107.6082549 16.5520356)
7742591171,16.5518205,107.6077964,3,,,POINT (107.6077964 16.5518205)
7742591172,16.5517631,107.6082241,3,,,POINT (107.6082241 16.5517631)
7742591173,16.5518861,107.6073552,3,,,POINT (107.6073552 16.5518861)
7742591177,16.5512381,107.606517,3,,,POINT (107.606517 16.5512381)
7742591180,16.550633,107.6062918,3,,,POINT (107.6062918 16.550633)
7742591182,16.5511764,107.6072868,3,,,POINT (107.6072868 16.5511764)
7742591184,16.5504155,107.6072238,3,,,POINT (107.6072238 16.5504155)
7742605686,16.5507199,107.6059417,3,,,POINT (107.6059417 16.5507199)
7742605690,16.5522929,107.6065395,1,,,POINT (107.6065395 16.5522929)
7742605693,16.550792,107.6056247,3,,,POINT (107.6056247 16.550792)
7742605700,16.5523441,107.6056732,1,,,POINT (107.6056732 16.5523441)
7742605706,16.5510923,107.6028992,3,,,POINT (107.6028992 16.5510923)
7742605707,16.5521386,107.6033179,4,,,POINT (107.6033179 16.5521386)
7742605708,16.5522881,107.6025792,3,,,POINT (107.6025792 16.5522881)
7742605709,16.5522352,107.6029509,3,,,POINT (107.6029509 16.5522352)
7742605711,16.5520094,107.603653,3,,,POINT (107.603653 16.5520094)
7742605712,16.5527152,107.6039615,1,,,POINT (107.6039615 16.5527152)
7742605715,16.5530024,107.6032696,1,,,POINT (107.6032696 16.5530024)
7742605717,16.5529141,107.6028193,1,,,POINT (107.6028193 16.5529141)
7742605719,16.5524553,107.6017927,1,,,POINT (107.6017927 16.5524553)
7742605722,16.551433,107.6015619,3,,,POINT (107.6015619 16.551433)
